data;temp;
2019-02-20;23.1;
2019-02-21;22.9;
2019-02-22;24.2;
2019-02-23;26.1;
2019-02-24;26.2;
2019-02-25;18.4;
2019-02-26;18;
2019-02-27;20.1;
2019-02-28;20.2;
2019-03-01;21.2;
2019-03-02;23.2;
2019-03-03;23.8;
2019-03-04;25.1;
2019-03-05;25.6;
2019-03-06;24.2;
2019-03-07;21.4;
2019-03-08;22.1;
2019-03-09;19.7;
2019-03-10;20.4;
2019-03-11;20.7;
2019-03-12;19.4;
2019-03-13;20.7;
2019-03-14;21.1;
2019-03-15;21.1;
2019-03-16;23.2;
2019-03-17;20.9;
2019-03-18;19.5;
2019-03-19;19.5;
2019-03-20;18.6;
2019-03-21;17;
2019-03-22;18.8;
2019-03-23;20.4;
2019-03-24;21.9;
2019-03-25;21.1;
2019-03-26;20.1;
2019-03-27;19.5;
2019-03-28;21.2;
2019-03-29;21.6;
2019-03-30;22.3;
2019-03-31;22.8;
2019-04-01;23.8;
2019-04-02;23.2;
2019-04-03;22.1;
2019-04-04;23.7;
2019-04-05;20.6;
2019-04-06;16.8;
2019-04-07;18.5;
2019-04-08;19.5;
2019-04-09;19.7;
2019-04-10;20.2;
2019-04-11;21.1;
2019-04-12;21.3;
2019-04-13;22.2;
2019-04-14;23.2;
2019-04-15;23.6;
2019-04-16;21.3;
2019-04-17;19.1;
2019-04-18;18.6;
2019-04-19;20.9;
2019-04-20;19.4;
2019-04-21;17.6;
2019-04-22;19.9;
2019-04-23;20.7;
2019-04-24;21.5;
2019-04-25;21.4;
2019-04-26;21.7;
2019-04-27;20.6;
2019-04-28;17.7;
2019-04-29;17.3;
2019-04-30;18.1;
2019-05-01;18.9;
2019-05-02;20;
2019-05-03;21.7;
2019-05-04;23.6;
2019-05-05;23.3;
2019-05-06;20.4;
2019-05-07;19.4;
2019-05-08;20.2;
2019-05-09;20.2;
2019-05-10;19.2;
2019-05-11;17.1;
2019-05-12;17.4;
2019-05-13;16.1;
2019-05-14;12.7;
2019-05-15;14.3;
2019-05-16;16.1;
2019-05-17;15.8;
2019-05-18;16.8;
2019-05-19;18.1;
2019-05-20;18;
2019-05-21;18;
2019-05-22;17.3;
2019-05-23;16.3;
2019-05-24;13.5;
2019-05-25;12.3;
2019-05-26;15;
2019-05-27;18.8;
2019-05-28;18.8;
2019-05-29;18.1;
2019-05-30;18.4;
2019-05-31;18.3;
2019-06-01;17;
2019-06-02;16.7;
2019-06-03;14.9;
2019-06-04;13.7;
2019-06-05;13.5;
2019-06-06;15.6;
2019-06-07;18;
2019-06-08;18.3;
2019-06-09;19.2;
2019-06-10;18.8;
2019-06-11;18;
2019-06-12;20.2;
2019-06-13;21.4;
2019-06-14;21.7;
2019-06-15;21.5;
2019-06-16;21.4;
2019-06-17;19.9;
2019-06-18;19.2;
2019-06-19;16.2;
2019-06-20;13;
2019-06-21;16.7;
2019-06-22;18.8;
2019-06-23;18.7;
2019-06-24;19.1;
2019-06-25;19.7;
2019-06-26;8.7;
2019-06-27;13.8;
2019-06-28;20.6;
2019-06-29;23.2;
2019-06-30;21.4;
2019-07-01;14.7;
2019-07-02;12.6;
2019-07-03;13.1;
2019-07-04;8;
2019-07-05;5.6;
2019-07-06;3.2;
2019-07-07;5.8;
2019-07-08;10.3;
2019-07-09;13.7;
2019-07-10;15.7;
2019-07-11;17.3;
2019-07-12;19.5;
2019-07-13;20.3;
