data;precipitacao;
18/02/2019;null;
19/02/2019;null;
20/02/2019;null;
21/02/2019;.2;
22/02/2019;0;
23/02/2019;0;
24/02/2019;0;
25/02/2019;22;
26/02/2019;43;
27/02/2019;0;
28/02/2019;0;
01/03/2019;0;
02/03/2019;0;
03/03/2019;0;
04/03/2019;0;
05/03/2019;0;
06/03/2019;0;
07/03/2019;14.4;
08/03/2019;6;
09/03/2019;23.8;
10/03/2019;7;
11/03/2019;0;
12/03/2019;14.4;
13/03/2019;28.4;
14/03/2019;.8;
15/03/2019;.2;
16/03/2019;0;
17/03/2019;.4;
18/03/2019;22.2;
19/03/2019;28.8;
20/03/2019;.2;
21/03/2019;0;
22/03/2019;0;
23/03/2019;0;
24/03/2019;0;
25/03/2019;0;
26/03/2019;0;
27/03/2019;0;
28/03/2019;0;
29/03/2019;0;
30/03/2019;0;
31/03/2019;0;
01/04/2019;0;
02/04/2019;0;
03/04/2019;0;
04/04/2019;0;
05/04/2019;14.8;
06/04/2019;5.4;
07/04/2019;13.2;
08/04/2019;.2;
09/04/2019;0;
10/04/2019;0;
11/04/2019;0;
12/04/2019;0;
13/04/2019;0;
14/04/2019;0;
15/04/2019;0;
16/04/2019;38.4;
17/04/2019;0;
18/04/2019;0;
19/04/2019;0;
20/04/2019;0;
21/04/2019;35.6;
22/04/2019;4.8;
23/04/2019;0;
24/04/2019;.2;
25/04/2019;0;
26/04/2019;0;
27/04/2019;.2;
28/04/2019;27.8;
29/04/2019;5.2;
30/04/2019;.2;
01/05/2019;.8;
02/05/2019;0;
03/05/2019;0;
04/05/2019;.6;
05/05/2019;0;
06/05/2019;2.4;
07/05/2019;14.2;
08/05/2019;0;
09/05/2019;3.2;
10/05/2019;0;
11/05/2019;28.8;
12/05/2019;108.8;
13/05/2019;5.6;
14/05/2019;5.6;
15/05/2019;0;
16/05/2019;0;
17/05/2019;0;
18/05/2019;0;
19/05/2019;0;
20/05/2019;0;
21/05/2019;0;
22/05/2019;20.6;
23/05/2019;14;
24/05/2019;5.6;
25/05/2019;6.4;
26/05/2019;.2;
27/05/2019;0;
28/05/2019;30;
29/05/2019;0;
30/05/2019;15.8;
31/05/2019;37;
01/06/2019;.4;
02/06/2019;0;
03/06/2019;.2;
04/06/2019;.2;
05/06/2019;0;
06/06/2019;0;
07/06/2019;0;
08/06/2019;0;
09/06/2019;0;
10/06/2019;0;
11/06/2019;0;
12/06/2019;0;
13/06/2019;0;
14/06/2019;0;
15/06/2019;0;
16/06/2019;0;
17/06/2019;0;
18/06/2019;0;
19/06/2019;0;
20/06/2019;.8;
21/06/2019;.2;
22/06/2019;0;
23/06/2019;0;
24/06/2019;0;
25/06/2019;0;
26/06/2019;34.4;
27/06/2019;0;
28/06/2019;7;
29/06/2019;0;
30/06/2019;0;
01/07/2019;22.2;
02/07/2019;12.6;
03/07/2019;11.6;
04/07/2019;.2;
05/07/2019;0;
06/07/2019;0;
07/07/2019;0;
08/07/2019;0;
09/07/2019;0;
10/07/2019;0;
11/07/2019;0;
12/07/2019;0;
13/07/2019;0;
14/07/2019;2.6;
15/07/2019;28;
16/07/2019;.2;
17/07/2019;0;
18/07/2019;0;
19/07/2019;.8;
20/07/2019;1.4;
21/07/2019;0;
22/07/2019;0;
23/07/2019;0;
24/07/2019;0;
25/07/2019;0;
26/07/2019;0;
27/07/2019;6.2;
28/07/2019;0;
29/07/2019;.6;
30/07/2019;7;
31/07/2019;0;
01/08/2019;0;
02/08/2019;9;
03/08/2019;1.4;
04/08/2019;0;
05/08/2019;0;
06/08/2019;0;
07/08/2019;0;
08/08/2019;0;
09/08/2019;0;
10/08/2019;.8;
11/08/2019;0;
12/08/2019;null;
13/08/2019;0;
14/08/2019;0;
15/08/2019;0;
16/08/2019;0;
17/08/2019;0;
18/08/2019;.4;
19/08/2019;5;
20/08/2019;0;
21/08/2019;0;
22/08/2019;0;
23/08/2019;.8;
24/08/2019;.2;
25/08/2019;0;
26/08/2019;0;
27/08/2019;0;
28/08/2019;0;
29/08/2019;0;
30/08/2019;0;
31/08/2019;11;
01/09/2019;13.6;
02/09/2019;0;
03/09/2019;0;
04/09/2019;0;
05/09/2019;0;
06/09/2019;2;
07/09/2019;.2;
08/09/2019;0;
09/09/2019;0;
10/09/2019;0;
11/09/2019;0;
12/09/2019;0;
13/09/2019;3.4;
14/09/2019;0;
15/09/2019;0;
16/09/2019;0;
17/09/2019;0;
18/09/2019;1.8;
19/09/2019;2.2;
20/09/2019;33.2;
21/09/2019;0;
22/09/2019;0;
23/09/2019;0;
24/09/2019;0;
25/09/2019;0;
26/09/2019;0;
27/09/2019;0;
28/09/2019;0;
29/09/2019;0;
30/09/2019;0;
01/10/2019;0;
02/10/2019;0;
03/10/2019;37.4;
04/10/2019;17.2;
05/10/2019;1.8;
06/10/2019;18.2;
07/10/2019;0;
08/10/2019;0;
09/10/2019;0;
10/10/2019;0;
11/10/2019;0;
12/10/2019;0;
13/10/2019;0;
14/10/2019;1.8;
15/10/2019;0;
16/10/2019;.4;
17/10/2019;0;
18/10/2019;8.8;
19/10/2019;9.2;
20/10/2019;0;
21/10/2019;41.2;
22/10/2019;3.2;
23/10/2019;.2;
24/10/2019;0;
25/10/2019;0;
26/10/2019;0;
27/10/2019;0;
28/10/2019;35.4;
29/10/2019;1.8;
30/10/2019;0;
31/10/2019;20.8;
01/11/2019;18.2;
02/11/2019;.2;
03/11/2019;0;
04/11/2019;1.8;
05/11/2019;19.8;
06/11/2019;1.8;
07/11/2019;0;
08/11/2019;16.4;
09/11/2019;0;
10/11/2019;1;
11/11/2019;.2;
12/11/2019;0;
13/11/2019;0;
14/11/2019;24.2;
15/11/2019;9.6;
16/11/2019;.2;
17/11/2019;0;
18/11/2019;0;
19/11/2019;0;
20/11/2019;0;
21/11/2019;0;
22/11/2019;0;
23/11/2019;0;
24/11/2019;0;
25/11/2019;0;
26/11/2019;0;
27/11/2019;77.4;
28/11/2019;12.4;
29/11/2019;0;
30/11/2019;0;
01/12/2019;0;
02/12/2019;0;
03/12/2019;0;
04/12/2019;26.6;
05/12/2019;46.4;
06/12/2019;.4;
07/12/2019;0;
08/12/2019;0;
09/12/2019;0;
10/12/2019;0;
11/12/2019;.2;
12/12/2019;10;
13/12/2019;0;
14/12/2019;0;
15/12/2019;.8;
16/12/2019;34.6;
17/12/2019;11.4;
18/12/2019;1;
19/12/2019;0;
20/12/2019;0;
21/12/2019;15.4;
22/12/2019;2.8;
23/12/2019;0;
24/12/2019;0;
25/12/2019;0;
26/12/2019;0;
27/12/2019;0;
28/12/2019;0;
29/12/2019;0;
30/12/2019;0;
31/12/2019;0;
01/01/2020;0;
02/01/2020;.2;
03/01/2020;0;
04/01/2020;0;
05/01/2020;0;
06/01/2020;.2;
07/01/2020;0;
08/01/2020;0;
09/01/2020;0;
10/01/2020;1.2;
11/01/2020;24.6;
12/01/2020;0;
13/01/2020;0;
14/01/2020;0;
15/01/2020;0;
16/01/2020;17.4;
17/01/2020;1.4;
18/01/2020;0;
19/01/2020;0;
20/01/2020;0;
21/01/2020;0;
22/01/2020;.8;
23/01/2020;2.6;
24/01/2020;0;
25/01/2020;0;
26/01/2020;0;
27/01/2020;0;
28/01/2020;0;
29/01/2020;6.2;
30/01/2020;59.2;
31/01/2020;1.2;
01/02/2020;0;
02/02/2020;0;
03/02/2020;48.4;
04/02/2020;.2;
05/02/2020;0;
06/02/2020;0;
07/02/2020;0;
08/02/2020;.8;
09/02/2020;18.8;
10/02/2020;5;
11/02/2020;0;
12/02/2020;0;
13/02/2020;0;
14/02/2020;0;
15/02/2020;0;
16/02/2020;24.4;
17/02/2020;3.4;
18/02/2020;.2;
19/02/2020;3;
20/02/2020;.2;
21/02/2020;0;
22/02/2020;0;
23/02/2020;0;
24/02/2020;0;
25/02/2020;16;
26/02/2020;38.4;
27/02/2020;0;
28/02/2020;0;
29/02/2020;0;
01/03/2020;0;
02/03/2020;0;
03/03/2020;0;
04/03/2020;0;
05/03/2020;0;
06/03/2020;0;
07/03/2020;0;
08/03/2020;6.2;
09/03/2020;.2;
10/03/2020;0;
11/03/2020;0;
12/03/2020;0;
13/03/2020;0;
14/03/2020;0;
15/03/2020;0;
16/03/2020;0;
17/03/2020;0;
18/03/2020;0;
19/03/2020;24;
20/03/2020;1.6;
21/03/2020;0;
22/03/2020;0;
23/03/2020;0;
24/03/2020;0;
25/03/2020;0;
26/03/2020;0;
27/03/2020;0;
28/03/2020;0;
29/03/2020;1.2;
30/03/2020;0;
31/03/2020;null;
01/04/2020;0;
02/04/2020;2;
03/04/2020;7;
04/04/2020;0;
05/04/2020;0;
06/04/2020;7.2;
07/04/2020;29.2;
08/04/2020;0;
09/04/2020;0;
10/04/2020;0;
11/04/2020;0;
12/04/2020;0;
13/04/2020;0;
14/04/2020;42.4;
15/04/2020;0;
16/04/2020;0;
17/04/2020;0;
18/04/2020;0;
19/04/2020;0;
20/04/2020;0;
21/04/2020;0;
22/04/2020;0;
23/04/2020;0;
24/04/2020;0;
25/04/2020;0;
26/04/2020;0;
27/04/2020;0;
28/04/2020;0;
29/04/2020;0;
30/04/2020;0;
01/05/2020;0;
02/05/2020;4.6;
03/05/2020;0;
04/05/2020;0;
05/05/2020;15.2;
06/05/2020;16;
07/05/2020;.2;
08/05/2020;0;
09/05/2020;0;
10/05/2020;0;
11/05/2020;0;
12/05/2020;0;
13/05/2020;15;
14/05/2020;26.2;
15/05/2020;0;
16/05/2020;0;
17/05/2020;0;
18/05/2020;0;
19/05/2020;0;
20/05/2020;0;
21/05/2020;0;
22/05/2020;77.2;
23/05/2020;25;
24/05/2020;5.8;
25/05/2020;.4;
26/05/2020;0;
27/05/2020;0;
28/05/2020;0;
29/05/2020;0;
30/05/2020;0;
31/05/2020;0;
01/06/2020;1.2;
02/06/2020;.2;
03/06/2020;.2;
04/06/2020;.4;
05/06/2020;22;
06/06/2020;35.8;
07/06/2020;.2;
08/06/2020;.2;
09/06/2020;9;
10/06/2020;54;
11/06/2020;118;
12/06/2020;4.6;
13/06/2020;0;
14/06/2020;17.2;
15/06/2020;.2;
16/06/2020;0;
17/06/2020;0;
18/06/2020;0;
19/06/2020;0;
20/06/2020;0;
21/06/2020;0;
22/06/2020;0;
23/06/2020;0;
24/06/2020;0;
25/06/2020;9.2;
26/06/2020;16.2;
27/06/2020;.2;
28/06/2020;0;
29/06/2020;.2;
30/06/2020;7;
01/07/2020;38.2;
02/07/2020;1.2;
03/07/2020;0;
04/07/2020;.2;
05/07/2020;0;
06/07/2020;17.4;
07/07/2020;.4;
08/07/2020;55.8;
09/07/2020;.8;
10/07/2020;0;
11/07/2020;1.8;
12/07/2020;1.4;
13/07/2020;0;
14/07/2020;7.2;
15/07/2020;0;
16/07/2020;0;
17/07/2020;10;
18/07/2020;0;
19/07/2020;0;
20/07/2020;0;
21/07/2020;0;
22/07/2020;0;
23/07/2020;0;
24/07/2020;0;
25/07/2020;8.6;
26/07/2020;0;
27/07/2020;0;
28/07/2020;0;
29/07/2020;23.8;
30/07/2020;0;
31/07/2020;0;
01/08/2020;0;
02/08/2020;0;
03/08/2020;0;
04/08/2020;0;
05/08/2020;0;
06/08/2020;0;
07/08/2020;0;
08/08/2020;0;
09/08/2020;0;
10/08/2020;0;
11/08/2020;0;
12/08/2020;2;
13/08/2020;25.8;
14/08/2020;.2;
15/08/2020;39.8;
16/08/2020;0;
17/08/2020;0;
18/08/2020;0;
19/08/2020;38.6;
20/08/2020;11.4;
21/08/2020;0;
22/08/2020;0;
23/08/2020;0;
24/08/2020;0;
25/08/2020;0;
26/08/2020;0;
27/08/2020;0;
28/08/2020;0;
29/08/2020;0;
30/08/2020;0;
31/08/2020;0;
01/09/2020;0;
02/09/2020;0;
03/09/2020;0;
04/09/2020;0;
05/09/2020;0;
06/09/2020;0;
07/09/2020;.8;
08/09/2020;12.6;
09/09/2020;0;
10/09/2020;0;
11/09/2020;0;
12/09/2020;0;
13/09/2020;0;
14/09/2020;0;
15/09/2020;0;
16/09/2020;0;
17/09/2020;2.8;
18/09/2020;0;
19/09/2020;0;
20/09/2020;0;
21/09/2020;0;
22/09/2020;0;
23/09/2020;0;
24/09/2020;0;
25/09/2020;0;
26/09/2020;0;
27/09/2020;.4;
28/09/2020;23.6;
29/09/2020;0;
30/09/2020;0;
01/10/2020;0;
02/10/2020;0;
03/10/2020;0;
04/10/2020;0;
05/10/2020;0;
06/10/2020;0;
07/10/2020;0;
08/10/2020;5.2;
09/10/2020;5.6;
10/10/2020;1;
11/10/2020;0;
12/10/2020;0;
13/10/2020;0;
14/10/2020;0;
15/10/2020;.6;
16/10/2020;.2;
17/10/2020;0;
18/10/2020;0;
19/10/2020;0;
20/10/2020;0;
21/10/2020;0;
22/10/2020;0;
23/10/2020;0;
24/10/2020;0;
25/10/2020;0;
26/10/2020;0;
27/10/2020;6.6;
28/10/2020;0;
29/10/2020;0;
30/10/2020;0;
31/10/2020;0;
01/11/2020;0;
02/11/2020;0;
03/11/2020;0;
04/11/2020;0;
05/11/2020;0;
06/11/2020;0;
07/11/2020;0;
08/11/2020;0;
09/11/2020;.8;
10/11/2020;6.8;
11/11/2020;0;
12/11/2020;4;
13/11/2020;.2;
14/11/2020;0;
15/11/2020;0;
16/11/2020;.6;
17/11/2020;3;
18/11/2020;0;
19/11/2020;0;
20/11/2020;0;
21/11/2020;0;
22/11/2020;0;
23/11/2020;0;
24/11/2020;0;
25/11/2020;0;
26/11/2020;2.6;
27/11/2020;5.8;
28/11/2020;16;
29/11/2020;55.2;
30/11/2020;43.6;
01/12/2020;.4;
02/12/2020;0;
03/12/2020;57.6;
04/12/2020;0;
05/12/2020;0;
06/12/2020;0;
07/12/2020;0;
08/12/2020;0;
09/12/2020;0;
10/12/2020;0;
11/12/2020;0;
12/12/2020;0;
13/12/2020;0;
14/12/2020;14.6;
15/12/2020;.2;
16/12/2020;0;
17/12/2020;0;
18/12/2020;0;
19/12/2020;0;
20/12/2020;103.4;
21/12/2020;14.2;
22/12/2020;0;
23/12/2020;0;
24/12/2020;0;
25/12/2020;0;
26/12/2020;0;
27/12/2020;0;
28/12/2020;0;
29/12/2020;0;
30/12/2020;6.6;
31/12/2020;42.2;
01/01/2021;null;
02/01/2021;null;
03/01/2021;null;
04/01/2021;null;
05/01/2021;null;
06/01/2021;6.8;
07/01/2021;.2;
08/01/2021;18;
09/01/2021;.2;
10/01/2021;53.4;
11/01/2021;0;
12/01/2021;0;
13/01/2021;0;
14/01/2021;0;
15/01/2021;0;
16/01/2021;0;
17/01/2021;32.2;
18/01/2021;10.6;
19/01/2021;.2;
20/01/2021;3.8;
21/01/2021;.2;
22/01/2021;5.2;
23/01/2021;12.6;
24/01/2021;5;
25/01/2021;.8;
26/01/2021;1.2;
27/01/2021;1.4;
28/01/2021;9.2;
29/01/2021;14.6;
30/01/2021;8.2;
31/01/2021;24;
01/02/2021;2.2;
02/02/2021;.2;
03/02/2021;0;
04/02/2021;5.4;
05/02/2021;1.8;
06/02/2021;0;
07/02/2021;0;
08/02/2021;0;
09/02/2021;0;
10/02/2021;.2;
11/02/2021;2.8;
12/02/2021;11.8;
13/02/2021;37;
14/02/2021;.2;
15/02/2021;7;
16/02/2021;0;
17/02/2021;7;
18/02/2021;0;
19/02/2021;0;
20/02/2021;0;
21/02/2021;0;
22/02/2021;0;
23/02/2021;0;
24/02/2021;1.2;
25/02/2021;0;
26/02/2021;0;
27/02/2021;0;
28/02/2021;0;
01/03/2021;0;
02/03/2021;0;
03/03/2021;2;
04/03/2021;38;
05/03/2021;18;
06/03/2021;.6;
07/03/2021;0;
08/03/2021;0;
09/03/2021;0;
10/03/2021;0;
11/03/2021;0;
12/03/2021;0;
13/03/2021;0;
14/03/2021;0;
15/03/2021;0;
16/03/2021;0;
17/03/2021;9.8;
18/03/2021;.2;
19/03/2021;0;
20/03/2021;0;
21/03/2021;0;
22/03/2021;0;
23/03/2021;0;
24/03/2021;0;
25/03/2021;0;
26/03/2021;.2;
27/03/2021;6.4;
28/03/2021;11.2;
29/03/2021;7.6;
30/03/2021;3.8;
31/03/2021;0;
01/04/2021;0;
02/04/2021;0;
03/04/2021;0;
04/04/2021;0;
05/04/2021;0;
06/04/2021;0;
07/04/2021;0;
08/04/2021;0;
09/04/2021;0;
10/04/2021;0;
11/04/2021;0;
12/04/2021;2.2;
13/04/2021;.2;
14/04/2021;0;
15/04/2021;0;
16/04/2021;15.8;
17/04/2021;3.4;
18/04/2021;0;
19/04/2021;0;
20/04/2021;0;
21/04/2021;0;
22/04/2021;0;
23/04/2021;0;
24/04/2021;0;
25/04/2021;1.2;
26/04/2021;0;
27/04/2021;.2;
28/04/2021;0;
29/04/2021;0;
30/04/2021;0;
01/05/2021;0;
02/05/2021;0;
03/05/2021;0;
04/05/2021;0;
05/05/2021;.2;
06/05/2021;16.4;
07/05/2021;10.8;
08/05/2021;0;
09/05/2021;0;
10/05/2021;0;
11/05/2021;1;
12/05/2021;10.4;
13/05/2021;.2;
14/05/2021;.2;
15/05/2021;0;
16/05/2021;0;
17/05/2021;0;
18/05/2021;0;
19/05/2021;0;
20/05/2021;0;
21/05/2021;0;
22/05/2021;11.8;
23/05/2021;2.2;
24/05/2021;0;
25/05/2021;0;
26/05/2021;0;
27/05/2021;0;
28/05/2021;0;
29/05/2021;14.4;
30/05/2021;0;
31/05/2021;0;
01/06/2021;0;
02/06/2021;0;
03/06/2021;8.4;
04/06/2021;0;
05/06/2021;0;
06/06/2021;5.6;
07/06/2021;6.2;
08/06/2021;15;
09/06/2021;31.6;
10/06/2021;.4;
11/06/2021;5.2;
12/06/2021;0;
13/06/2021;0;
14/06/2021;0;
15/06/2021;0;
16/06/2021;0;
17/06/2021;0;
18/06/2021;0;
19/06/2021;14.2;
20/06/2021;20.6;
21/06/2021;.4;
22/06/2021;7;
23/06/2021;0;
24/06/2021;.2;
25/06/2021;11.6;
26/06/2021;0;
27/06/2021;36.6;
28/06/2021;22.6;
29/06/2021;0;
30/06/2021;0;
01/07/2021;0;
02/07/2021;0;
03/07/2021;0;
04/07/2021;0;
05/07/2021;0;
06/07/2021;0;
07/07/2021;0;
08/07/2021;0;
09/07/2021;0;
10/07/2021;0;
11/07/2021;0;
12/07/2021;0;
13/07/2021;0;
14/07/2021;0;
15/07/2021;5.4;
16/07/2021;27.2;
17/07/2021;0;
18/07/2021;0;
